timestamp,value
1752461489618,2047
1752461489628,2421
1752461489638,2783
1752461489648,3118
1752461489658,3416
1752461489668,3665
1752461489678,3856
1752461489688,3984
1752461489698,4043
1752461489708,4031
1752461489718,3949
1752461489728,3799
1752461489738,3588
1752461489748,3321
1752461489758,3010
1752461489768,2665
1752461489778,2297
1752461489788,1921
1752461489798,1549
1752461489808,1195
1752461489818,871
1752461489828,589
1752461489838,358
1752461489848,187
1752461489858,82
1752461489868,47
1752461489878,82
1752461489888,187
1752461489898,358
1752461489908,589
1752461489918,871
1752461489928,1195
1752461489938,1549
1752461489948,1921
1752461489958,2297
1752461489968,2665
1752461489978,3010
1752461489988,3321
1752461489998,3588
1752461490008,3799
1752461490018,3949
1752461490028,4031
1752461490038,4043
1752461490048,3984
1752461490058,3856
1752461490068,3665
1752461490078,3416
1752461490088,3118
1752461490098,2783
1752461490108,2421
1752461490118,2046
1752461490128,1672
1752461490138,1310
1752461490148,975
1752461490158,677
1752461490168,428
1752461490178,237
1752461490188,109
1752461490198,50
1752461490208,62
1752461490218,144
1752461490228,294
1752461490238,505
1752461490248,772
1752461490258,1083
1752461490268,1428
1752461490278,1796
1752461490288,2172
1752461490298,2544
1752461490308,2898
1752461490318,3222
1752461490328,3504
1752461490338,3735
1752461490348,3906
1752461490358,4011
1752461490368,4047
1752461490378,4011
1752461490388,3906
1752461490398,3735
1752461490408,3504
1752461490418,3222
1752461490428,2898
1752461490438,2544
1752461490448,2172
1752461490458,1796
1752461490468,1428
1752461490478,1083
1752461490488,772
1752461490498,505
1752461490508,294
1752461490518,144
1752461490528,62
1752461490538,50
1752461490548,109
1752461490558,237
1752461490568,428
1752461490578,677
1752461490588,975
1752461490598,1310
1752461490608,1672
1752461490618,2047
