# Fault Type: three_phase
# Fault Location: feeder_3
# Date: 2025-07-28
# Time: 23:19:43
n,value
1,2047
2,2544
3,3010
4,3416
5,3735
6,3949
7,4043
8,4011
9,3856
10,3588
11,3222
12,2783
13,2297
14,1796
15,1310
16,871
17,505
18,237
19,82
20,50
21,144
22,358
23,677
24,1083
25,1549
26,2047
27,2544
28,3010
29,3416
30,3735
31,3949
32,4043
33,4011
34,3856
35,3588
36,3222
37,2783
38,2297
39,1796
40,1310
41,871
42,505
43,237
44,82
45,50
46,144
47,358
48,677
49,1083
50,1549
51,2047
52,2544
53,3010
54,3416
55,3735
56,3949
57,4043
58,4011
59,3856
60,3588
61,3222
62,2783
63,2297
64,1796
65,1310
66,871
67,505
68,237
69,82
70,50
71,144
72,358
73,677
74,1083
75,1549
76,2047
77,2544
78,3010
79,3416
80,3735
81,3949
82,4043
83,4011
84,3856
85,3588
86,3222
87,2783
88,2297
89,1796
90,1310
91,871
92,505
93,237
94,82
95,50
96,144
97,358
98,677
99,1083
100,1549
101,2047
